ville,magasin,product_code,product_name,price,currency,date,location_osm_id
Rennes,U Express Rennes Liberté,2000000142203,,1.9,EUR,2025-08-07,44052431
Vannes,Vannes,8008714002152,,5.99,EUR,2024-07-20,192306
